siteid,Name,month,year,years_fire,pre_post_fire,burned,closed_ever,tot_vis,closed_month,d2p
CRG_002,Oneonta Gorge,1,2015,-3,pre,yes,yes,169,open,2015-01-15
CRG_002,Oneonta Gorge,1,2016,-2,pre,yes,yes,436,open,2016-01-15
CRG_002,Oneonta Gorge,1,2017,-1,pre,yes,yes,788,open,2017-01-15
CRG_002,Oneonta Gorge,1,2018,0,post,yes,yes,0,closed,2018-01-15
CRG_002,Oneonta Gorge,1,2019,1,post,yes,yes,0,closed,2019-01-15
CRG_002,Oneonta Gorge,2,2015,-3,pre,yes,yes,486,open,2015-02-15
CRG_002,Oneonta Gorge,2,2016,-2,pre,yes,yes,769,open,2016-02-15
CRG_002,Oneonta Gorge,2,2017,-1,pre,yes,yes,545,open,2017-02-15
CRG_002,Oneonta Gorge,2,2018,0,post,yes,yes,0,closed,2018-02-15
CRG_002,Oneonta Gorge,2,2019,1,post,yes,yes,0,closed,2019-02-15
CRG_002,Oneonta Gorge,3,2015,-3,pre,yes,yes,563,open,2015-03-15
CRG_002,Oneonta Gorge,3,2016,-2,pre,yes,yes,1801,open,2016-03-15
CRG_002,Oneonta Gorge,3,2017,-1,pre,yes,yes,1786,open,2017-03-15
CRG_002,Oneonta Gorge,3,2018,0,post,yes,yes,0,closed,2018-03-15
CRG_002,Oneonta Gorge,3,2019,1,post,yes,yes,0,closed,2019-03-15
CRG_002,Oneonta Gorge,4,2015,-3,pre,yes,yes,1705,open,2015-04-15
CRG_002,Oneonta Gorge,4,2016,-2,pre,yes,yes,2847,open,2016-04-15
CRG_002,Oneonta Gorge,4,2017,-1,pre,yes,yes,3417,open,2017-04-15
CRG_002,Oneonta Gorge,4,2018,0,post,yes,yes,0,closed,2018-04-15
CRG_002,Oneonta Gorge,4,2019,1,post,yes,yes,0,closed,2019-04-15
CRG_002,Oneonta Gorge,5,2015,-3,pre,yes,yes,3340,open,2015-05-15
CRG_002,Oneonta Gorge,5,2016,-2,pre,yes,yes,4111,open,2016-05-15
CRG_002,Oneonta Gorge,5,2017,-1,pre,yes,yes,7629,open,2017-05-15
CRG_002,Oneonta Gorge,5,2018,0,post,yes,yes,0,closed,2018-05-15
CRG_002,Oneonta Gorge,5,2019,1,post,yes,yes,0,closed,2019-05-15
CRG_002,Oneonta Gorge,6,2015,-3,pre,yes,yes,5585,open,2015-06-15
CRG_002,Oneonta Gorge,6,2016,-2,pre,yes,yes,9567,open,2016-06-15
CRG_002,Oneonta Gorge,6,2017,-1,pre,yes,yes,18949,open,2017-06-15
CRG_002,Oneonta Gorge,6,2018,0,post,yes,yes,0,closed,2018-06-15
CRG_002,Oneonta Gorge,6,2019,1,post,yes,yes,0,closed,2019-06-15
CRG_002,Oneonta Gorge,7,2015,-3,pre,yes,yes,8825,open,2015-07-15
CRG_002,Oneonta Gorge,7,2016,-2,pre,yes,yes,15316,open,2016-07-15
CRG_002,Oneonta Gorge,7,2017,-1,pre,yes,yes,18616,open,2017-07-15
CRG_002,Oneonta Gorge,7,2018,0,post,yes,yes,0,closed,2018-07-15
CRG_002,Oneonta Gorge,7,2019,1,post,yes,yes,0,closed,2019-07-15
